season,first_conductor,orch,first_location,first_venue,event_name,first_date,num_perfs,first_soloist,id
2020,"van Zweden, Jaap",NYP,"Manhattan, NY",ALI,Virtual Performance,2021-03-19,1,"Bell, Joshua",14501
2020,"van Zweden, Jaap",NYP,"Manhattan, NY",ALI,Virtual Performance,2021-03-26,1,"Bronfman, Yefim 2",14502
2020,"Salonen, Esa-Pekka",NYP,"Manhattan, NY",SHE,S,2021-04-14,2,None,14504
2020,None,NYP,"Brooklyn, NY",DPK,Bandwagon,2021-05-07,2,"Luna, Juana 7",14505
2020,None,NYP,"Bronx, NY",FGP,Bandwagon,2021-05-23,1,"Lucas, Kareem 10",14508
2020,None,NYP,"Manhattan, NY",MGP,Bandwagon,2021-05-15,1,"Stewart, Curtis 5",14509
2020,None,MUS,"Brooklyn, NY",GW,C,2021-06-04,2,"Fierst, Alison 27",14510
2020,"Gonzalez-Granados [González-Granados], Lina",NYP,"Manhattan, NY",BPK,Bryant Park,2021-06-09,4,None,14512
2020,"Candillari, Daniela",MUS,"Manhattan, NY",MSM,,2021-03-11,1,None,14513
2020,"Munoz [Muñoz], Tito",MUS,"Bronx, NY",P52,SUB,2021-06-05,1,"O'Farrill, Arturo 16",14514
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",ALI,SUB,2021-09-17,1,"Roberts, Ryan 4",14515
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",ROT,SUB,2021-09-23,1,"Bronfman, Yefim",14516
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",ALI,Fundraising Concert,2021-12-02,1,"Perlman, Itzhak",14517
2021,"Guerrero, Giancarlo",NYP,"Manhattan, NY",ROT,SUB,2021-10-14,3,"Bax, Alessio",14518
2021,"Stasevska, Dalia",NYP,"Manhattan, NY",ALI,SUB,2021-10-20,4,"McGill, Anthony 2",14519
2021,"Thomas, Michael Tilson",NYP,"Manhattan, NY",ALI,SUB,2021-11-04,3,"Shaham, Gil",14520
2021,"Young, Simone",NYP,"Manhattan, NY",ALI,SUB,2021-11-11,1,"Kanneh-Mason, Sheku",14521
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",ALI,SUB,2021-09-18,1,"Roberts, Ryan 4",14524
2021,"Slobodeniouk, Dima",NYP,"Manhattan, NY",ALI,SUB,2021-11-17,3,"Gomyo, Karen",14526
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",ALI,SUB,2021-11-24,3,"Bell, Joshua",14527
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",ALI,SUB,2021-12-03,2,"Ax, Emanuel",14529
2020,"New, Gemma",NYP,"Manhattan, NY",SJD,SJD,2021-05-31,1,None,14530
2021,"Sorrell, Jeannette",NYP,"Manhattan, NY",RIV,NS,2021-12-14,4,"Forsythe, Amanda 5",14537
2021,"Smith, Philip",MEM,"Manhattan, NY",ALI,Holiday Brass,2021-12-16,2,"Smith, Philip 11",14590
2021,"Malkki [Mälkki], Susanna",NYP,"Manhattan, NY",CH,SUB,2022-01-06,1,"Marsalis, Branford",14591
2022,"Candillari, Daniela",NYP,"Manhattan, NY",DGH,NS,2023-02-28,1,"Ma, Yo-Yo",14592
2021,"Wilkins, Thomas",NYP,"Manhattan, NY",ALI,Y,2022-01-15,1,"Wilkins, Thomas 8",14593
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",ROT,SUB,2022-01-27,3,"Costanzo, Anthony Roth 7",14594
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",ALI,SUB,2022-02-03,2,"Costanzo, Anthony Roth",14595
2021,"Lee, Earl",NYP,"Manhattan, NY",ALI,NS,2022-02-08,1,"Chen, Stella 2",14596
2021,"Hrusa [Hruša], Jakub",NYP,"Manhattan, NY",ALI,SUB,2022-02-10,1,"Wang, Yuja",14597
2021,"Rouvali, Santtu-Matias",NYP,"Manhattan, NY",ROT,SUB,2022-02-17,3,"Schultz, Golda",14598
2021,"Honeck, Manfred",NYP,"Manhattan, NY",ROT,SUB,2022-02-24,3,"Chen, Ray",14599
2021,"Blomstedt, Herbert",NYP,"Manhattan, NY",ALI,SUB,2022-03-03,3,None,14600
2021,"Blachly, James",NYP,"Manhattan, NY",ALI,Y,2022-03-05,1,"Deak, Jon 5",14601
2021,"Dudamel, Gustavo",NYP,"Manhattan, NY",ALI,SUB,2022-03-09,4,None,14602
2021,"Dudamel, Gustavo",NYP,"Manhattan, NY",ROT,SUB,2022-03-17,4,None,14603
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",ALI,SUB,2022-03-24,1,"Cho, Seong-Jin",14604
2021,"Rakitina, Anna",NYP,"Manhattan, NY",ROT,SUB,2022-03-31,1,"Zhang, Haochen",14605
2021,"Yu, Long",NYP,"Manhattan, NY",ROT,SUB,2022-04-07,3,"Capucon (Capuçon), Gautier",14606
2021,"Newman, David",NYP,"Manhattan, NY",ALI,NS,2022-04-20,1,None,14607
2021,"Newman, David",NYP,"Manhattan, NY",ALI,SUB,2022-04-22,2,None,14608
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",CH,SUB,2022-04-27,1,"Labeque [Labèque], Katia 2",14609
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",CH,SUB,2022-05-06,1,"Levit, Igor",14610
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",ALI,SUB,2022-05-12,3,"Huang, Frank",14611
2021,"Gonzalez-Granados [González-Granados], Lina",NYP,"Manhattan, NY",ALI,Y,2022-05-14,1,"Fu, Lanxing 2",14612
2021,"van Zweden, Jaap",NYP,"Peenemünde, Usedom, Germany",PEE,RES,2022-05-20,1,"Lisiecki, Jan",14613
2021,"van Zweden, Jaap",NYP,"Peenemünde, Usedom, Germany",PEE,RES,2022-05-21,1,"Mutter, Anne-Sophie",14614
2021,"van Zweden, Jaap",NYP,"Peenemünde, Usedom, Germany",PEE,RES,2022-05-22,1,"Hampson, Thomas",14615
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",SJD,SJD,2022-05-30,1,None,14616
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",ROT,SUB,2022-06-02,1,"Rana, Beatrice",14617
2021,"van Zweden, Jaap",NYP,"Manhattan, NY",CH,SUB,2022-06-10,1,"Hahn, Hilary",14618
2021,"van Zweden, Jaap",NYP,"Bronx, NY",VCP,P,2022-06-14,2,"Kim, Bomsori",14619
2020,"van Zweden, Jaap",NYP,"Vail, CO",GRF,T,2021-07-21,1,"Trifonov, Daniil",14620
2020,"van Zweden, Jaap",NYP,"Vail, CO",GRF,T,2021-07-23,1,"Brey, Carter",14621
2020,"van Zweden, Jaap",NYP,"Vail, CO",GRF,T,2021-07-24,1,"Tao, Conrad 2",14622
2020,"van Zweden, Jaap",NYP,"Vail, CO",GRF,T,2021-07-25,1,"Thibaudet, Jean-Yves",14623
2020,"Tovey, Bramwell 2",NYP,"Vail, CO",GRF,T,2021-07-27,1,"Hadelich, Augustin",14624
2020,"Tovey, Bramwell",NYP,"Vail, CO",GRF,T,2021-07-28,1,"O'Hara, Kelli",14625
2020,None,PRE,"Brooklyn, NY",DPK,Bandwagon,2021-05-09,1,Alma Adentro,14626
2020,None,NYP,"Manhattan, NY",MGP,Bandwagon,2021-05-15,1,"Browne, Mahogany L. 8",14627
2020,None,NYP,"Manhattan, NY",MGP,Bandwagon,2021-05-14,1,"Anyanwu, Ngozi 10",14628
2020,None,NYP,"Manhattan, NY",MGP,Bandwagon,2021-05-15,1,"Anyanwu, Ngozi 10",14629
2020,None,NYP,"Bronx, NY",FGP,Bandwagon,2021-05-21,1,James Lovell and The Afri-Garifuna Music Ambassadors (JLAMA),14630
2020,None,NYP,"Bronx, NY",FGP,Bandwagon,2021-05-21,1,"Luna, Juana 7",14631
2020,None,MUS,"Brooklyn, NY",GW,C,2021-06-06,1,"Fierst, Alison 24",14633
2020,None,PRE,"Manhattan, NY",MGP,Bandwagon,2021-05-16,1,"Mitchell, Laquita 2",14634
2020,None,PRE,"Brooklyn, NY",DPK,Bandwagon,2021-05-07,1,Mariachi Tapatio de Alvaro Paulino,14635
2020,None,NYP,"Brooklyn, NY",DPK,Bandwagon,2021-05-07,1,"Pulitzer, Elkhanah 15",14636
2020,None,PRE,"Manhattan, NY",MGP,Bandwagon,2021-05-14,1,"Beaubrun, Paul 2",14637
2020,None,PRE,"Manhattan, NY",MGP,Bandwagon,2021-05-14,1,Grand Wizzard Theodore,14638
2020,None,PRE,"Manhattan, NY",MGP,Bandwagon,2021-05-15,1,Sing Harlem Choir,14639
2020,None,PRE,"Manhattan, NY",MGP,Bandwagon,2021-05-16,1,"Hicks, Justin 3",14640
2020,None,NYP,"Bronx, NY",FGP,Bandwagon,2021-05-23,1,"Luna, Juana 7",14641
2020,None,PRE,"Bronx, NY",FGP,Bandwagon,2021-05-21,2,BronX BandA 2,14642
2020,None,PRE,"Bronx, NY",FGP,Bandwagon,2021-05-22,1,Kool Element Latin Jazz 2,14643
2020,None,MUS,"Bronx, NY",FGP,Bandwagon,2021-05-22,1,Bronx Arts Ensemble 8,14644
2020,None,PRE,"Bronx, NY",FGP,Bandwagon,2021-05-22,1,Grand Wizzard Theodore 2,14645
