season,first_conductor,orch,first_location,first_venue,event_name,first_date,num_perfs,first_soloist,id
1987,"Mehta, Zubin",NYP,"Moscow, USSR",TCH,T,1988-06-04,1,None,228
1990,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,PFB,1990-10-03,1,"Barenboim, Daniel",335
1990,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1990-10-04,3,"Spivakov, Vladimir",338
1989,"Mehta, Zubin",NYP,"Vienna, VA",FIL,T,1990-08-22,1,"Drucker, Stanley",339
1989,"Mehta, Zubin",NYP,"Vienna, VA",FIL,T,1990-08-23,1,"McDermott, Kerry 3",344
1990,"Slatkin, Leonard",NYP,"Manhattan, NY",AFH,SUB,1990-10-10,3,"Browning, John",345
1990,"Slatkin, Leonard",NYP,"Greenvale, NY",TIL,SUB,1990-10-13,1,"Peters, Roberta",347
1990,"Slatkin, Leonard",NYP,"Manhattan, NY",AFH,SUB,1990-10-18,4,"Dicterow, Glenn 4",351
1990,"Leinsdorf, Erich",NYP,"Manhattan, NY",AFH,SUB,1990-10-25,4,"de Larrocha, Alicia",355
1988,None,NYE,"Manhattan, NY",MRK,C,1989-04-02,1,"Drucker, Stanley 10",460
1996,"Masur, Kurt",NYP,"Manhattan, NY",AFH,SUB,1997-01-24,1,"Ma, Yo-Yo 2",477
1996,None,MUS,"Manhattan, NY",AFH,PRE,1997-01-30,3,"Pauley, Wilbur 14",504
1988,"Wolff, Hugh",NYP,"Manhattan, NY",AFH,SUB,1989-02-01,5,"Serkin, Peter",575
1988,"Slatkin, Leonard",NYP,"Manhattan, NY",AFH,SUB,1989-02-09,4,"Peskanov, Mark",579
1988,"Slatkin, Leonard",NYP,"Manhattan, NY",AFH,SUB,1989-02-16,3,"Hohenfeld, Linda 8",585
1988,"Masur, Kurt",NYP,"Manhattan, NY",AFH,SUB,1989-02-22,3,"Leonskaja, Elisabeth 5",591
1988,"Masur, Kurt",NYP,"Manhattan, NY",AFH,SUB,1989-02-25,2,"Leonskaja, Elisabeth 5",598
1988,"Kruglikov, Felix",NYP,"Manhattan, NY",AFH,Y,1989-01-14,1,"Sylar, Sherry 4",651
1988,"Kruglikov, Felix",NYP,"Manhattan, NY",AFH,Y,1989-01-18,1,"Rex, Charles 3",654
1990,"Mehta, Zubin",NYP,"Manhattan, NY",CH,S,1991-05-01,1,"Cliburn, Van",684
1990,"Mehta, Zubin 2",NYP,"Manhattan, NY",CH,SUB,1991-05-05,1,Empire Brass Quintet 18,687
1990,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1991-05-16,3,"Myers, Philip 3",690
1990,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1991-05-23,3,"Dunn, Susan 7",694
1988,"Leinsdorf, Erich",NYP,"Manhattan, NY",CPG,P,1989-07-24,1,None,720
1988,"Wolff, Hugh",NYP,"Queens, NY",CRO,P,1989-07-27,8,None,726
1989,"Sinopoli, Giuseppe",NYP,"Manhattan, NY",AFH,SUB,1989-12-07,3,"Shaham, Gil",793
1989,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1989-12-14,2,"Mulligan, Gerry 5",798
1989,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1989-12-16,1,"Mulligan, Gerry 5",803
1989,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1989-12-19,1,"Mulligan, Gerry 5",807
1989,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1989-12-21,3,"Robinson, Joseph 7",812
1989,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,Y,1989-11-15,2,"Windham, Daniel J.",847
1988,"Kruglikov, Felix",NYE,"Manhattan, NY",MRK,C,1989-03-05,1,"Kaufman, Mindy 24",1156
1996,"Thakar, Markand",NYP,"Manhattan, NY",CPN,P,1997-07-22,3,"Chestnut, Cyrus 2",1417
1989,"Leinsdorf, Erich",NYP,"Manhattan, NY",AFH,SUB,1990-02-01,3,"Myers, Philip",1444
1989,"Leinsdorf, Erich",NYP,"Manhattan, NY",AFH,SUB,1990-02-09,3,None,1449
1989,"Leinsdorf, Erich",NYP,"Manhattan, NY",AFH,SUB,1990-02-15,4,"Bronfman, Yefim",1454
1989,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1990-02-22,4,"Mutter, Anne-Sophie",1459
1989,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,Y,1990-01-10,1,"Mehta, Zubin 3",1522
1989,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,Y,1990-01-13,1,"Mehta, Zubin 3",1529
1996,"Lockhart, Keith",NYP,"Valhalla, NY",WES,P,1997-07-26,5,None,1540
1996,"Masur, Kurt",NYP,"Manhattan, NY",AFH,F,1997-07-08,2,Prime Time 10,1555
1988,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1988-09-14,1,"Stern, Isaac",1563
1988,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1988-09-16,3,"Dicterow, Glenn 16",1568
1988,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1988-09-22,2,"White, Wendy 5",1572
1988,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1988-09-23,2,"White, Wendy 5",1579
1988,"Mehta, Zubin",NYP,"Washington, DC",KC,SUB,1988-09-26,1,"Dicterow, Glenn 16",1584
1988,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1988-09-29,3,"Ma, Yo-Yo",1587
1990,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,SUB,1991-03-30,1,"Valente, Benita 5",1590
1990,None,NYE,"Manhattan, NY",MRK,C,1991-01-13,1,"Robinson, Joseph 11",1596
1996,"Masur, Kurt",NYP,"Manhattan, NY",AFH,F,1997-07-12,2,"Francesch, Homero 2",1601
1996,"Masur, Kurt 2",NYP,"Manhattan, NY",AFH,F,1997-07-18,1,"Hagegard [Hagegård], Håkon 5",1650
1996,"Masur, Kurt",NYP,"Manhattan, NY",AFH,F,1997-07-20,1,"Mutter, Anne-Sophie 6",1665
1990,"Slatkin, Leonard",NYP,"Manhattan, NY",AFH,SUB,1990-12-06,2,"Kaye, Judy 6",1667
1996,"Masur, Kurt",NYP,"Sao Paulo, BRAZIL",IBI,T,1997-06-15,1,Members of the New York Philharmonic Brass,1669
1990,"Wong, Samuel",NYP,"Manhattan, NY",AFH,SUB,1990-12-13,3,"Feltsman, Vladimir",1673
1990,"Masur, Kurt",NYP,"Manhattan, NY",AFH,SUB,1990-12-18,4,"Wiens, Edith 11",1677
