season,first_conductor,orch,first_location,first_venue,event_name,first_date,num_perfs,first_soloist,id
1939,"Barbirolli , John",NYP,"Manhattan, NY",CH,SUB,1940-02-01,2,"Piastro, Mishel",57
1975,"Leinsdorf, Erich",NYP,"Manhattan, NY",AFH,SUB,1975-11-06,4,"Browning, John",58
1986,"Sinopoli, Giuseppe",NYP,"Manhattan, NY",AFH,SUB,1987-05-28,3,"Quivar, Florence 4",59
1957,"Previtali, Fernando",NYP,"Manhattan, NY",CH,SUB,1957-12-22,1,None,60
1912,"Stransky, Josef",NYP,"Princeton, NJ",ALE,RO,1913-02-10,1,None,61
1934,"Janssen, Werner",NYP,"Manhattan, NY",CH,SUB,1935-03-24,1,None,62
1939,"Barbirolli , John",NYP,"Manhattan, NY",CH,SUB,1940-02-04,1,"Brailowsky, Alexander",63
1975,"Caldwell, Sarah",NYP,"Manhattan, NY",AFH,PFB,1975-11-10,1,"Drucker, Stanley 4",64
1974,"Boulez, Pierre",NYP,"Tokyo, JAPAN",BNK,T,1974-09-02,1,None,65
1953,"Mitropoulos, Dimitri",NYP,"Manhattan, NY",CH,SUB,1954-02-04,2,None,66
1939,"Barbirolli , John",NYP,"Manhattan, NY",CH,SUB,1940-02-08,2,"Virovai, Robert",67
1935,"Toscanini, Arturo",NYP,"Manhattan, NY",CH,SUB,1936-03-26,3,"Milstein, Nathan",68
1934,"Toscanini, Arturo",NYP,"Manhattan, NY",CH,SUB,1935-03-28,3,"Bos, Coenraad V. 3",69
1887,"Thomas, Theodore",NYP,"Manhattan, NY",MOH,SUB,1887-12-10,1,Griswold 3,70
1912,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1913-02-13,3,No Soloist,71
1975,"Foster, Lawrence",NYP,"Manhattan, NY",AFH,SUB,1975-11-13,3,"de Larrocha, Alicia",72
1974,"Bernstein, Leonard",NYP,"Tokyo, JAPAN",NHK,T,1974-09-04,1,None,73
1953,"Mitropoulos, Dimitri",NYP,"Manhattan, NY",CH,SUB,1954-02-06,1,"MacInnes, James",74
1939,"Barbirolli , John",NYP,"Manhattan, NY",CH,SUB,1940-02-11,1,"Virovai, Robert",75
1865,"Bergmann, Carl",NYP,"Manhattan, NY",AOM,SUB,1866-03-10,1,"Poch, Carmelina 2",76
1975,"Foster, Lawrence",NYP,"Manhattan, NY",AFH,SUB,1975-11-15,1,"de Larrocha, Alicia",78
1974,"Boulez, Pierre",NYP,"Tokyo, JAPAN",NHK,T,1974-09-05,1,None,79
1953,"Mitropoulos, Dimitri",NYP,"Manhattan, NY",CH,SUB,1954-02-07,1,None,80
1939,"Barbirolli , John",NYP,"Manhattan, NY",CH,SUB,1940-02-15,2,"Horowitz, Vladimir",81
1912,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1913-02-23,1,"Ysaye, Eugène 2",82
1975,"Boulez, Pierre",NYP,"Manhattan, NY",AFH,SUB,1975-11-20,3,"Menuhin, Yehudi",83
1953,"Mitropoulos, Dimitri",NYP,"Manhattan, NY",CH,SUB,1954-02-11,2,None,84
1912,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1913-02-27,2,"Schumann-Heink, Ernestine",85
1939,"Barbirolli , John",NYP,"Manhattan, NY",CH,SUB,1940-02-18,1,None,86
1975,"Boulez, Pierre",NYP,"Manhattan, NY",AFH,SUB,1975-11-26,4,"Watts, Andre (André)",87
1953,"Kostelanetz, Andre",NYP,"Manhattan, NY",CH,SUB,1954-02-13,1,None,88
1939,"Barbirolli , John",NYP,"Manhattan, NY",CH,SUB,1940-02-22,2,"Amans, John",89
1918,"Stransky, Josef 2",NYP,"Brooklyn, NY",COM,SUB,1919-03-01,1,None,90
1957,"Schippers, Thomas",NYP,"Manhattan, NY",CH,Y,1957-11-23,1,"Goodman, Saul 6",91
1953,"Mitropoulos, Dimitri",NYP,"Manhattan, NY",CH,SUB,1954-02-14,1,None,92
1953,"Mitropoulos, Dimitri",MUS,"Manhattan, NY",HOT,I,1954-01-18,1,"Brenner, Engelbert 12",93
1950,"Walter, Bruno",NYP,"Edinburgh, SCOTLAND",USH,T,1951-08-22,1,"Seefried, Irmgard",94
1939,"Barbirolli , John",NYP,"Manhattan, NY",CH,SUB,1940-02-25,1,None,95
1925,"Mengelberg, Willem",NYP,"Baltimore, MD",LYR,T,1925-11-16,1,None,96
1918,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1919-03-02,1,"Gates, Lucy 2",97
1953,"Mitropoulos, Dimitri",NYP,"Manhattan, NY",CH,SUB,1954-02-18,2,None,98
1950,"Mitropoulos, Dimitri",NYP,"Edinburgh, SCOTLAND",USH,T,1951-08-23,1,None,99
1939,"Barbirolli , John",NYP,"Manhattan, NY",CH,SUB,1940-02-29,2,None,100
1918,"Stransky, Josef",NYP,"Poughkeepsie, NY",VAS,RO,1919-03-04,1,None,101
1953,"Mitropoulos, Dimitri",NYP,"Manhattan, NY",CH,SUB,1954-02-21,1,"Soriano, Gonzalo",102
1950,"Walter, Bruno",NYP,"Edinburgh, SCOTLAND",USH,T,1951-08-24,2,Edinburgh Royal Chorus,103
1923,"Mengelberg, Willem",NYP,"Brooklyn, NY",BAM,SUB,1924-02-03,1,"Guidi, Scipione",104
1918,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1919-03-06,2,"Hofmann, Josef",105
1986,"Davis, Andrew",NYP,"Manhattan, NY",AFH,Y,1987-04-28,1,All-City High School Orchestra 12,106
1971,"Ancerl, Karel",NYP,"Manhattan, NY",PH,SUB,1972-01-06,4,"Lukomska, Halina",107
1953,"Cantelli, Guido",NYP,"Manhattan, NY",CH,SUB,1954-02-25,2,None,108
1950,"Mitropoulos, Dimitri",NYP,"Edinburgh, SCOTLAND",USH,T,1951-08-25,1,"Hess, Myra 5",109
1945,"Szell, George",NYP,"Manhattan, NY",CH,SUB,1945-11-01,2,"Lincer, William 2",110
1923,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,PCS,1924-02-06,1,"Beck, Alma",111
1953,"Cantelli, Guido",NYP,"Manhattan, NY",CH,SUB,1954-02-27,1,"Serkin, Rudolf",112
1918,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1919-03-08,1,"Vidas, Raoul",113
1971,"Ancerl, Karel",NYP,"Manhattan, NY",PH,PFB,1972-01-11,1,"Rubinstein, Artur",114
1950,"Walter, Bruno",NYP,"Edinburgh, SCOTLAND",USH,T,1951-08-26,1,None,115
1923,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1924-02-07,2,"Flesch, Carl",116
1945,"Szell, George",NYP,"Manhattan, NY",CH,SUB,1945-11-03,1,None,117
1953,"Cantelli, Guido",NYP,"Manhattan, NY",CH,SUB,1954-02-28,1,"Serkin, Rudolf",118
1918,"Stransky, Josef",NYP,"Brooklyn, NY",BAM,SUB,1919-03-09,1,"Elman, Mischa",119
1971,"Maderna, Bruno",NYP,"Manhattan, NY",PH,SUB,1972-01-13,4,"Dernesch, Helga",120
1950,"Mitropoulos, Dimitri",NYP,"Edinburgh, SCOTLAND",USH,T,1951-08-27,1,"Francescatti, Zino",121
1928,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1929-01-03,2,"Matzenauer, Margarete 2",122
1923,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1924-02-10,1,None,123
1918,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1919-03-12,1,"Hempel, Frieda 2",124
1945,"Szell, George",NYP,"Manhattan, NY",CH,SUB,1945-11-04,1,"Lincer, William 2",125
1971,"Maderna, Bruno",NYP,"Manhattan, NY",PH,SUB,1972-01-20,3,"Zukofsky, Paul 3",126
1950,"Walter, Bruno",NYP,"Edinburgh, SCOTLAND",USH,T,1951-08-28,1,None,127
1923,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1924-02-14,2,"Mengelberg, Willem 5",128
1945,"Szell, George",NYP,"Manhattan, NY",CH,SUB,1945-11-08,2,"Arrau, Claudio",129
1918,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1919-03-13,2,"Novaes, Guiomar",130
1976,"Levine, James",NYP,"Manhattan, NY",CH,F,1976-10-01,1,"Neblett, Carol 3",131
1971,"Delacôte, Jacques",NYP,"Manhattan, NY",PH,SUB,1972-01-27,3,"Dichter, Misha",132
1928,"Mengelberg, Willem",NYP,"Manhattan, NY",MOH,SUB,1929-01-13,1,"Guidi, Scipione",133
1950,"Mitropoulos, Dimitri",NYP,"Edinburgh, SCOTLAND",USH,T,1951-08-29,1,"Casadesus, Robert",134
1918,"Stransky, Josef",NYP,"Manhattan, NY",WAL,S,1919-03-15,1,"Megerlin, Alfred",135
1923,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1924-02-16,1,None,136
1928,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1929-01-17,2,"Guidi, Scipione 3",137
1945,"Szell, George",NYP,"Manhattan, NY",CH,SUB,1945-11-11,1,"Arrau, Claudio",138
1976,"Levine, James",NYP,"Manhattan, NY",CH,F,1976-10-02,1,None,139
1971,"Kostelanetz, Andre",NYP,"Manhattan, NY",PH,SUB,1972-01-29,1,"Lorengar, Pilar",140
1950,"Mitropoulos, Dimitri",NYP,"Edinburgh, SCOTLAND",USH,T,1951-08-31,1,"Cutner, Solomon",141
1945,"Rodzinski, Artur",NYP,"Hartford, CT",BUS,RO,1945-11-13,2,None,142
1930,"Molinari, Bernardino",NYP,"Washington, DC",DAR,T,1931-01-27,1,"Orloff, Nicolai",143
1928,"Honegger, Arthur 2",NYP,"Manhattan, NY",CH,SUB,1929-01-19,2,"Vaurabourg, Andree",144
1923,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1924-02-17,1,"Thibaud, Jacques",145
1976,"Levine, James",NYP,"Manhattan, NY",CH,F,1976-10-08,1,"Ewing, Maria 2",146
1953,"Pelletier, Wilfrid",NYP,"Manhattan, NY",CH,Y,1954-01-23,1,"Jaimes, Judith 3",147
1928,"Reiner, Fritz",NYP,"Manhattan, NY",CH,SUB,1929-01-24,3,"Schulz, Leo",148
1923,"Mengelberg, Willem",NYP,"Manhattan, NY",MOH,SUB,1924-02-19,1,"Thibaud, Jacques",149
1945,"Rodzinski, Artur",NYP,"Manhattan, NY",CH,SUB,1945-11-15,2,"Casadesus, Robert",150
1976,"Levine, James",NYP,"Manhattan, NY",CH,F,1976-10-09,1,"Neblett, Carol 12",151
1928,"Reiner, Fritz",NYP,"Manhattan, NY",MOH,SUB,1929-01-27,2,"Austral, Florence 2",152
1923,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1924-02-21,2,"Spalding, Albert",153
1985,"Bernstein, Leonard",NYP,"Manhattan, NY",AFH,SUB,1985-12-05,4,None,154
1945,"Rodzinski, Artur",NYP,"Manhattan, NY",CH,SUB,1945-11-18,1,"Casadesus, Robert",155
1976,"Levine, James",NYP,"Manhattan, NY",CH,F,1976-10-11,1,None,156
1928,"Reiner, Fritz",NYP,"Philadelphia, PA",AOM,T,1929-01-28,1,"Schulz, Leo",157
1945,"Rodzinski, Artur",NYP,"Manhattan, NY",CH,SUB,1945-11-22,3,"Traubel, Helen 11",158
1976,"Boulez, Pierre",NYP,"Manhattan, NY",CH,F,1976-10-16,1,None,159
1985,"Dutoit, Charles",NYP,"Manhattan, NY",AFH,SUB,1985-12-12,4,"Dicterow, Glenn",160
1963,"Krips, Josef",NYP,"Manhattan, NY",PH,SUB,1964-03-05,4,None,161
1985,"Dutoit, Charles",NYP,"Manhattan, NY",AFH,SUB,1985-12-19,3,"Schiff, András",162
1940,"Ganz, Rudolph",NYP,"Manhattan, NY",CH,Y,1941-03-22,1,"Martin, Betty 4",163
1976,"Boulez, Pierre",NYP,"Manhattan, NY",CH,F,1976-10-17,1,None,164
1963,"Szell, George",NYP,"Manhattan, NY",PH,SUB,1964-03-12,3,"Stader, Maria",165
1985,"de Waart, Edo",NYP,"Manhattan, NY",AFH,SUB,1985-12-31,1,"Vinzing, Ute",166
1976,"Boulez, Pierre",NYP,"Manhattan, NY",CH,F,1976-10-25,1,"Minton, Yvonne 6",167
1963,"Kostelanetz, Andre",NYP,"Manhattan, NY",PH,SUB,1964-03-14,1,"Corigliano, John, Sr.",168
1963,"Szell, George",NYP,"Manhattan, NY",PH,SUB,1964-03-19,4,"Fournier, Pierre 2",169
1978,"Bernstein, Leonard",NYP,"Manhattan, NY",AFH,SUB,1979-06-06,1,None,170
1963,"Szell, George",NYP,"Manhattan, NY",PH,SUB,1964-03-26,4,None,171
1978,"Bernstein, Leonard",NYP,"Manhattan, NY",AFH,SUB,1979-06-09,1,None,172
1967,"Wallenstein, Alfred",NYP,"Manhattan, NY",PH,PCS,1967-12-05,2,"Munroe, Lorne",173
1938,"Barbirolli , John",NYP,"Manhattan, NY",CH,PCS,1938-12-03,2,"Barera, Orlando",174
1913,"Stransky, Josef",NYP,"Baltimore, MD",LYR,T,1914-03-09,1,"Gluck, Alma",175
1913,"Stransky, Josef",NYP,"Wilkes-Barre, PA",IRE,T,1914-03-11,1,"Carreño, Teresa",176
1938,"Barbirolli , John",NYP,"Manhattan, NY",CH,PCS,1938-12-10,2,"List, Eugene",177
1981,"Leinsdorf, Erich",NYP,"Manhattan, NY",AFH,SUB,1982-02-04,3,"Dicterow, Glenn",178
1927,"Mengelberg, Willem",NYP,"Chicago, IL",ORC,T,1927-11-01,1,"Amans, John 5",179
1938,"Barbirolli , John",NYP,"Manhattan, NY",CH,PCS,1938-12-31,1,"Piastro, Mishel",180
1981,"Newland, Larry",NYP,"Manhattan, NY",AFH,SUB,1982-02-09,1,"Dicterow, Glenn",181
1927,"Mengelberg, Willem",NYP,"Cleveland, OH",PUB,T,1927-11-04,1,"Amans, John 5",183
1981,"Zinman, David",NYP,"Manhattan, NY",AFH,SUB,1982-02-10,1,"Perlman, Itzhak",184
1927,"Mengelberg, Willem",NYP,"Philadelphia, PA",AOM,T,1927-11-07,1,"Schmitz, E. Robert",185
1903,"Colonne, Edouard",NYP,"Manhattan, NY",CH,SUB,1903-11-13,2,"Thibaud, Jacques",186
1883,"Thomas, Theodore",NYP,"Manhattan, NY",AOM,SUB,1884-01-19,1,None,187
1943,"Rodzinski, Artur",NYP,"Manhattan, NY",CH,PCS,1943-11-27,2,"Morini, Erica",188
1981,"Tennstedt, Klaus",NYP,"Manhattan, NY",AFH,SUB,1982-02-11,4,"Arrau, Claudio",189
1927,"Mengelberg, Willem",NYP,"Baltimore, MD",LYR,T,1927-11-08,1,"Schmitz, E. Robert",190
1981,"Tennstedt, Klaus",NYP,"Manhattan, NY",AFH,SUB,1982-02-18,4,None,191
1927,"Mengelberg, Willem",NYP,"Reading, PA",STR,T,1927-11-09,1,"Amans, John 5",192
1985,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,Y,1985-11-16,2,"Duell, Joseph 22",193
1924,"Schelling, Ernest",NYP,"Manhattan, NY",AEO,Y,1925-01-24,2,"Guidi, Scipione 4",194
1981,"Dutoit, Charles",NYP,"Manhattan, NY",AFH,SUB,1982-02-25,3,None,195
1970,"Kostelanetz, Andre",NYP,"Holmdel, NJ",GSA,RO,1971-08-11,2,"Wild, Earl",196
